OBJECTID,ID,Waterfall Name,Alternate Name,Municipality,County,Waterfall Type 1,Waterfall Type 2,Approximate Height (ft),Approximate Height 2 (ft),Access,Comments,Measurement,Date Measured,Stream Name,NJSPC83 Easting (X),NJSPC83 Northing (Y),GlobalID,x,y
53,58,Indian Falls,,Mine Hill Twp.,Morris,Cascade, ,10.7,10.7,Public,One main cascade known as Indian Falls. Multiple small falls above and below Indian Falls over a 100 feet in length.,Trimble rangefinder,8/15/2017 12:00:00 AM,Jackson Brook,469492.109,744463.535,1a710527-9e04-44a7-aa6e-090f431da598,469492.109091178,744463.534918524
54,59,Kugler's Woods Falls,,Kingwood Twp.,Hunterdon,Cascade, ,19.5,19.5,Public,A short hike near the Delaware River leads up to a small waterfall. It's about a half mile roundtrip hike from Route 29.,Trimble rangefinder,3/3/2022 12:00:00 AM,Delaware River Tributary,336885.551,579874.337,190fe31a-4379-4172-abfe-70f022f42539,336885.551142093,579874.33686661
55,60,Laurel Falls Lower,,Hardwick Twp.,Sussex,Cascade,Horsetail,16,16,Public,Falls closest to Old Mine Road in Worthington State Forest.,Surveyors level,5/9/2018 12:00:00 AM,Delaware River Tributary,331535.332,794199.18,c7e2c4ee-f70f-483c-940b-86150a9ef9ed,331535.331855677,794199.179869607
56,61,Laurel Falls Middle,,Hardwick Twp.,Sussex,Multi-step waterfall, ,23.4,23.4,Public,A larger impressive cascade with two steps.,Surveyors level,5/9/2018 12:00:00 AM,Delaware River Tributary,331596.36,793991.656,9c9eab59-467e-4dbf-b16f-ec594466d702,331596.359948844,793991.656006441
57,62,Laurel Falls Upper,,Hardwick Twp.,Sussex,Cascade, ,5,5,Public,Small cascade above Laurel Falls Middle.,Surveyors level,5/9/2018 12:00:00 AM,Delaware River Tributary,331650.224,793837.042,e45126df-a599-4665-8c0f-6bc54216b90a,331650.224014342,793837.042142443
58,90,Little Falls 1,,Little Falls,Passaic,Cascade, ,12,12,Public,Most of this falls is about three feet high with the exception being a small part on the west side is about 12 feet high.,Trimble rangefinder,7/11/2019 12:00:00 AM,Passaic River Tributary,565606.084,747021.863,d203a5ab-2f77-4720-bb3b-4c035a6088ee,565606.083857592,747021.863135189
59,63,Little Falls 2,,Little Falls,Passaic,Cascade, ,2,2,Public,Downstream of the Little Falls closest to the dam is another small falls estimated to be about two feet.,Trimble rangefinder,7/11/2019 12:00:00 AM,Passaic River Tributary,566023.792,746895.822,020571ba-39b9-4a33-b06b-54773d9e92ef,566023.792011674,746895.822048694
60,64,Little Falls 3,,Little Falls,Passaic,Cascade, ,1.32,1.32,Public,Downstream of the Little Falls closest to the dam is another small falls measured to at 1.32 feet.,Trimble rangefinder,7/11/2019 12:00:00 AM,Passaic River Tributary,566151.223,746818.238,397313c7-33d4-44b7-b337-92ce91397b62,566151.222859178,746818.237886272
61,65,"Little Falls, water treatment plant",,Little Falls,Passaic,Cascade, ,24.8,24.8,Public,Water originates from water treatment plant. Not the Passaic River.,Trimble rangefinder,7/11/2019 12:00:00 AM,Passaic River Tributary,566564.417,746896.169,709f9b1b-9033-4f13-8f9d-82ee369317a2,566564.416914675,746896.169160858
62,110,Lockatong High Falls,High Falls,Kingwood Twp.,Hunterdon,Cascade, ,12.5,12.5,Public,A hidden gem of a waterfall located on Lockatong Creek in the Lockatong Wildlife management area.,Trimble rangefinder,8/6/2019 12:00:00 AM,Lockatong Creek,346551.88,585229.609,8a93a9aa-641c-4e97-8d37-e38448ddfafc,346551.879906509,585229.608964443
63,91,Lost Brook Falls,,Tenafly Borough,Bergen,Cascade, ,200,75,Public,Second largest falls in New Jersey. It cascades off the Palisades cliff and is fed by Lost Brook. Multiple cascades. Height measured from LiDAR and topographic map.,Estimate,5/3/2018 12:00:00 AM,Lost Brook,648938.79,757636.782,35416096-aee8-4e94-914e-e6fdba7f9f88,648938.789895259,757636.781865939
64,66,Manunka Chunk Falls,,White Twp.,Warren,Cascade, ,18,18,Public,Small waterfall on Manunka Chunk Mountain.,Estimate,7/24/2024 12:00:00 AM,Beaver Brook,341580,739457.89,9636611b-40a3-4317-a4c9-a33b63d926a9,341580.000086509,739457.890074193
65,67,Maple Falls,,Millburn,Essex,Cascade,,29.5,29.5,Public,Located in the South Mountain Reservation north of the Millburn train station. About a half mile hike.,Trimble rangefinder,1/11/2018 12:00:00 AM,Maple Brook,547114.675,691896.61,98af23de-af8c-44f8-bf99-80f3ca463cda,547114.674974341,691896.609868854
66,68,North Valhalla Brook Falls,,Montville Twp.,Morris,Cascade, ,13.3,13.3,Public,Scenic waterfalls located in the Pyramid Mountain Natural Historic Area.,Estimate,8/19/2021 12:00:00 AM,North Valhalla Brook,528615.263,769628.888,3c084360-2509-4abd-8b93-3e421c007eeb,528615.263154343,769628.888131022
67,92,Old Mine Road Unnamed Waterfall  1,,Hardwick Twp.,Sussex,Cascade,Multi-step waterfall,60.9,17.7,Public,Located along Old Mine Road. A multi-tiered stair stepped falls with the largest cascade being at the top. Ephemeral stream.,Trimble rangefinder,3/28/2019 12:00:00 AM,Delaware River Tributary,326967.038,791392.512,4e30cb4e-95de-4dc2-bef6-ae534a07c472,326967.037842676,791392.511926524
68,69,Old Mine Road Unnamed Waterfall  2,,Hardwick Twp.,Warren,Cascade, ,9.93,9.93,Public,Small seasonal unnamed falls along Old Mine Road. Set back 100 feet from the road. A few very small falls are just above this one. Ephemeral Stream.,Trimble rangefinder,3/28/2019 12:00:00 AM,Delaware River Tributary,344867.373,801519.209,e0e20d60-a033-4ea0-a891-8486114891b1,344867.373104926,801519.208864689
69,93,Old Mine Road Unnamed Waterfall  3,,Hardwick Twp.,Sussex,Cascade, ,12,12,Public,Waterfall located off of old mine road about 200 feet off the road.  Another smaller cascade was just above.,Trimble rangefinder,3/28/2019 12:00:00 AM,Delaware River Tributary,342005.189,799741.406,18625433-4f42-4d27-89db-6259c4cce1e2,342005.188868675,799741.405989856
70,105,Old Mine Road Unnamed Waterfall  4,,Hardwick Twp.,Sussex,Cascade,Multi-step waterfall,12,12,Public,Small cascade located off of Old Mine Road about 50 feet above a larger waterfall.,Trimble rangefinder,3/28/2018 12:00:00 AM,Delaware River Tributary,327009.811,791339.839,ad8cd638-4344-458d-89f0-a3f9305ee96d,327009.811051093,791339.839131609
71,70,Otter Hole Falls,,Bloomingdale Borough,Passaic,Cascade,Multi-step waterfall,15.7,11.6,Public,Located in Norvin Green State Forest. One larger cascade and two smaller cascades over 50 feet make up the Otter Hole Falls.  A short walk from the parking area.,Trimble rangefinder,12/1/2018 12:00:00 AM,Posts Brook,533568.21,806208.108,2c31ac3d-bcce-45d5-b049-92496b009f10,533568.209941342,806208.10795144
72,71,Posts Brook Falls 1,,Bloomingdale Borough,Passaic,Cascade, ,5,5,Public,Located in Norvin Green State Forest. An unnamed falls below Otter Hole on Post Creek.,Estimate,11/1/2018 12:00:00 AM,Posts Brook,533766.864,805934.2555,ab1586ce-5d7c-4c42-ad5e-124316f67b47,533766.864071593,805934.255480774
73,72,Posts Brook Falls 2,,Bloomingdale Borough,Passaic,Cascade, ,11.9,11.9,Public,Located in Norvin Green State Forest. An unnamed falls below Otter Hole on Post Creek. No trail directly to the falls.  A short climb down a steep incline over boulders. Approximate location.,Estimate,11/1/2018 12:00:00 AM,Posts Brook,534337.018,805741.756,438be74c-4699-47e6-b723-e62a7e923965,534337.01811501,805741.755865775
74,73,Potters Falls,,Washington Twp.,Morris,Chute, ,8.26,8.26,Public,"Located at the edge of Hacklebarney State Park Also known as Allamatona Falls, Allimatona Falls, Lamington Falls, Black River Falls, Potter's Falls.",Trimble rangefinder,12/24/2023 12:00:00 AM,Lamington River,429595.47,687095.302,712742ea-497a-4cbf-840a-a7720ec5f009,429595.470052592,687095.301886193
75,107,Ramapo (Buttercup) Falls,Butttercup Falls,Mahwah Twp.,Bergen,Cascade, ,21.6,21.6,Public,Falls located in Ramapo Valley County Reservation. Some smaller cascades are above Buttercup Falls. The hike to the falls is approximately a half mile walk from the parking area.,Trimble rangefinder,4/24/2019 12:00:00 AM,Macmillen Brook,575639.895,818405.967,0a2e8fd3-3188-43cb-8577-0d2fb3c3b6ca,575639.895154759,818405.967085861
76,74,Rinehart Brook Falls Lower,,Chester Twp.,Morris,Cascade, ,3.71,3.71,Public,Small falls on Rinehart Brook.,Trimble rangefinder,7/30/2019 12:00:00 AM,Rinehart Brook,427924.405,696095.976,99cf32d7-1716-44e6-8e08-84c04d35803a,427924.40515326,696095.976142026
77,75,Rinehart Brook Falls Upper,,Chester Twp.,Morris,Cascade, ,4.24,4.24,Public,Small falls on Rinehart Brook.,Trimble rangefinder,7/30/2019 12:00:00 AM,Rinehart Brook,427807.844,696120.142,e2e6176e-c3b0-4b55-91bb-847488e55598,427807.844034676,696120.142104194
78,76,Roaring Brook Falls,,Rockleigh Borough,Bergen,Cascade, ,4.95,4.95,Public,Nice small falls located in the Rockleigh Woods Sanctuary.,Estimate,3/11/2022 12:00:00 AM,Roaring Brook,651182.058,789486.344,8bbac895-c024-493a-96b2-c97fe0eb0eba,651182.058046509,789486.344150938
79,77,Roaring Brook Falls  2,,Alpine Borough,Bergen,Cascade, ,4.46,4.46,Public,Small falls located in Lamont Preserve.,Trimble rangefinder,3/11/2022 12:00:00 AM,Roaring Brook,651329,789321,d4174bbf-6b4d-47eb-9e66-1b489d42b60b,651329.000009842,789320.999993443
80,78,Roaring Brook Falls  3,,Alpine Borough,Bergen,Cascade, ,7,7,Public,Small falls located in Lamont Preserve.,Trimble rangefinder,3/11/2022 12:00:00 AM,Roaring Brook,652330,789319,03d7da3f-0868-41da-87d0-37678dce9d69,652015.439909928,789246.269171774
81,79,Roaring Brook Falls  4,,Alpine Borough,Bergen,Cascade,Multi-step waterfall,8,6,Public,Small falls located in Lamont Preserve.,Trimble rangefinder,3/11/2022 12:00:00 AM,Roaring Brook,651549,789284,35ba7adb-2369-4c75-b351-2ecd1212c434,651548.999897927,789284.000067443
82,1,Roaring Brook Falls  5,,Alpine Borough,Bergen,Cascade,Multi-step waterfall,9,6,Public,Small falls located in Lamont Preserve.,Trimble rangefinder,3/11/2022 12:00:00 AM,Roaring Brook,651898,789369,cd127e1d-d8bc-43dc-b2c7-8657622416d4,651897.999856092,789368.999897443
83,2,Roaring Brook Falls  6,,Alpine Borough,Bergen,Cascade, ,8,8,Public,Small falls located in Lamont Preserve.,Trimble rangefinder,3/11/2022 12:00:00 AM,Roaring Brook,652202,789189,13c7561f-1f94-47b7-ab06-e38cb3f7d4ec,652201.99990426,789188.999929361
84,3,Roaring Brook Falls  7,,Alpine Borough,Bergen,Cascade, ,6,6,Public,Small falls located in Lamont Preserve.,Trimble rangefinder,3/11/2022 12:00:00 AM,Roaring Brook,652262,789191,a3191f5a-ac84-4b69-a7f5-f58e1c4b6253,652240.180930261,789125.542379111
85,4,Rutherford Falls Lower,,Wantage Twp.,Sussex,Cascade, ,15,15,Public,Located in High Point State Park.,Estimate,5/30/2023 12:00:00 AM,Clove Brook Tributary,446708.514,892614.819,73b89e4a-116a-4ccd-9da9-4d25db2954fb,446708.513910428,892614.818995938
86,5,Rutherford Falls Upper,,Wantage Twp.,Sussex,Cascade, ,35,35,Public,Located in High Point State Park.,Estimate,5/30/2023 12:00:00 AM,Clove Brook Tributary,446650.099,892620.707,edb18dc0-108a-4afb-bcc4-bae843d0e898,446650.099001009,892620.707107522
87,6,Schooley's Falls,Strykers's Falls,Washington Twp.,Morris,Fantail,Cascade,23.5,23.5,Public,Schooley's Falls. Located along the Falling Waters trail in Schooleys Mountain Park.,Trimble rangefinder,3/20/2019 12:00:00 AM,Electric Brook,413994.9,714974.505,a59a1645-10cc-4439-8450-e2c2a7f6a5ca,413994.899875842,714974.504985943
88,94,Schooley's Mountain Road Unnamed Waterfall,,Washington Twp.,Morris,Cascade, ,19.1,19.1,Private,Located along Schooleys Mtn. Rd. It is visible from the road. On the left side when driving from Hackettstown to Schooleys Mountain. Its located on private property.,Trimble rangefinder,3/20/2019 12:00:00 AM,Schooleys Mountain Brook Tributary,403808.256,720139.148,c5136237-8758-463c-8dc3-0ee42a29ce33,403808.255879093,720139.147871859
89,95,Schooley's Mountain Unnamed Waterfall 1,,Washington Twp.,Morris,Cascade, ,17.4,17.4,Public,Waterfalls on Electric Brook just above Schooley's Falls. Located along the Falling Waters Trail.,Trimble rangefinder,3/20/2019 12:00:00 AM,Electric Brook,413921.162,715014.867,f2de178a-e84e-4d2e-9855-693618137156,413921.162162427,715014.867109939
90,7,Schooley's Mountain Unnamed Waterfall 2,,Washington Twp.,Morris,Cascade, ,10.6,6,Public,Small multitiered falls located where the Electric Brook generating plant was formerly located. Located along the Falling Waters Trail.,Trimble rangefinder,3/20/2019 12:00:00 AM,Electric Brook,413583.3111321,715752.4059892,38d52b92-8d59-4ca7-a356-8c123ab2d661,413583.311132092,715752.405989192
91,8,Scout Creek Falls,Musconetcong Gorge Falls,Bloomsbury,Warren,Cascade, ,60.2,13.4,Public,"A series of five small cascades in the Musconetcong Gorge. Located off of Dennis Road, Bloomsbury, NJ. Also known as Musconetcong Gorge Falls.",Trimble rangefinder,9/27/2018 12:00:00 AM,Scout Creek,317784.388,654656.141,c8d25cb1-d958-411f-8445-90a5be345bd8,317784.387900926,654656.141042858
